mal_id,name,series,genre,rarity,image_url,favorites
161471,Itsuki Nakano,5-toubun no Hanayome,Anime,3,https://cdn.myanimelist.net/images/characters/5/437010.jpg,7844
161472,Nino Nakano,5-toubun no Hanayome,Anime,3,https://cdn.myanimelist.net/images/characters/7/437011.jpg,15036
161470,Ichika Nakano,5-toubun no Hanayome,Anime,3,https://cdn.myanimelist.net/images/characters/12/436646.jpg,3832
161469,Yotsuba Nakano,5-toubun no Hanayome,Anime,3,https://cdn.myanimelist.net/images/characters/8/437009.jpg,5879
160603,Miku Nakano,5-toubun no Hanayome,Anime,3,https://cdn.myanimelist.net/images/characters/15/507743.jpg,21838
173759,Otori,5-toubun no Hanayome,Anime,1,https://cdn.myanimelist.net/images/characters/11/389458.jpg,1
166779,Raiha Uesugi,5-toubun no Hanayome,Anime,2,https://cdn.myanimelist.net/images/characters/8/384122.jpg,175
173762,Yamada,5-toubun no Hanayome,Anime,1,https://cdn.myanimelist.net/images/characters/9/389461.jpg,2
214385,Takebayashi,5-toubun no Hanayome,Anime,1,https://cdn.myanimelist.net/images/characters/8/495850.jpg,2
185061,Rena Nakano,5-toubun no Hanayome,Anime,2,https://cdn.myanimelist.net/images/characters/9/495863.jpg,12
55843,Hime Haruno,Acchi Kocchi,Anime,2,https://cdn.myanimelist.net/images/characters/11/161545.jpg,86
55845,Mayoi Katase,Acchi Kocchi,Anime,3,https://cdn.myanimelist.net/images/characters/15/170999.jpg,152
